,Country,Year,% using internet
0,Micronesia,2000,3.7
12,Albania,2000,0.1
19,Algeria,2000,0.5
26,Andorra,2000,10.5
33,Angola,2000,0.1
40,Anguilla,2000,22.4
44,Antigua and Barbuda,2000,6.5
51,Argentina,2000,7.0
58,Armenia,2000,1.3
65,Aruba,2000,15.4
69,Australia,2000,46.8
76,Austria,2000,33.7
83,Azerbaijan,2000,0.1
90,Bahamas,2000,8.0
97,Bahrain,2000,6.2
104,Bangladesh,2000,0.1
111,Barbados,2000,4.0
118,Belarus,2000,1.9
124,Belgium,2000,29.4
131,Belize,2000,6.0
138,Benin,2000,0.2
145,Bermuda,2000,42.9
149,Bhutan,2000,0.4
156,Bolivia,2000,1.4
163,Bosnia and Herzegovina,2000,1.1
170,Botswana,2000,2.9
177,Brazil,2000,2.9
185,Brunei,2000,9.0
192,Bulgaria,2000,5.4
199,Burkina Faso,2000,0.1
206,Burundi,2000,0.1
213,Cabo Verde,2000,1.8
220,Cambodia,2000,0.0
227,Cameroon,2000,0.3
234,Canada,2000,51.3
244,Central African Republic,2000,0.1
251,Chad,2000,0.0
258,Chile,2000,16.6
265,China,2000,1.8
272,"China, Hong Kong SAR",2000,27.8
279,"China, Macao SAR",2000,13.6
286,Colombia,2000,2.2
293,Comoros,2000,0.3
300,Congo,2000,0.0
304,Cook Islands,2000,15.7
308,Costa Rica,2000,5.8
315,Côte d’Ivoire,2000,0.2
322,Croatia,2000,6.6
329,Cuba,2000,0.5
336,Cyprus,2000,15.3
343,Czech Republic,2000,9.8
350,North Korea,2000,0.0
353,Democratic Republic of the Congo,2000,0.0
360,Denmark,2000,39.2
367,Djibouti,2000,0.2
374,Dominica,2000,8.8
381,Dominican Republic,2000,3.7
388,Ecuador,2000,1.5
395,Egypt,2000,0.6
402,El Salvador,2000,1.2
409,Equatorial Guinea,2000,0.1
416,Eritrea,2000,0.1
422,Estonia,2000,28.6
429,Swaziland,2000,0.9
436,Ethiopia,2000,0.0
443,Falkland Islands (Malvinas),2000,58.6
447,Faroe Islands,2000,32.9
451,Fiji,2000,1.5
458,Finland,2000,37.2
465,France,2000,14.3
472,French Guiana,2000,9.7
474,French Polynesia,2000,6.4
478,Gabon,2000,1.2
485,Gambia,2000,0.9
492,Georgia,2000,0.5
499,Germany,2000,30.2
506,Ghana,2000,0.2
513,Gibraltar,2000,19.1
516,Greece,2000,9.1
523,Greenland,2000,31.7
527,Grenada,2000,4.1
534,Guadeloupe,2000,5.8
536,Guam,2000,16.1
540,Guatemala,2000,0.7
547,Guernsey,2000,31.9
549,Guinea,2000,0.1
556,Guinea-Bissau,2000,0.2
563,Guyana,2000,0.6
570,Haiti,2000,0.2
577,Honduras,2000,1.2
584,Hungary,2000,7.0
591,Iceland,2000,44.5
598,India,2000,0.5
605,Indonesia,2000,0.9
612,Iran,2000,0.9
625,Ireland,2000,17.9
632,Israel,2000,20.9
639,Italy,2000,23.1
646,Jamaica,2000,3.1
653,Japan,2000,30.0
660,Jersey,2000,9.2
662,Jordan,2000,2.6
669,Kazakhstan,2000,0.7
676,Kenya,2000,0.3
683,Kiribati,2000,1.8
690,Kuwait,2000,6.7
697,Kyrgyzstan,2000,1.0
704,Laos,2000,0.1
711,Latvia,2000,6.3
718,Lebanon,2000,8.0
725,Lesotho,2000,0.2
732,Liberia,2000,0.0
738,Libya,2000,0.2
741,Liechtenstein,2000,36.5
748,Lithuania,2000,6.4
755,Luxembourg,2000,22.9
762,Madagascar,2000,0.2
769,Malawi,2000,0.1
776,Malaysia,2000,21.4
783,Maldives,2000,2.2
790,Mali,2000,0.1
797,Malta,2000,13.1
804,Marshall Islands,2000,1.5
808,Martinique,2000,7.8
810,Mauritania,2000,0.2
817,Mauritius,2000,7.3
824,Mayotte,2000,1.2
825,Mexico,2000,5.1
832,Monaco,2000,42.2
839,Mongolia,2000,1.3
852,Morocco,2000,0.7
859,Mozambique,2000,0.1
872,Namibia,2000,1.6
882,Nepal,2000,0.2
889,Netherlands,2000,44.0
896,New Caledonia,2000,13.9
900,New Zealand,2000,47.4
907,Nicaragua,2000,1.0
914,Niger,2000,0.0
921,Nigeria,2000,0.1
928,Niue,2000,26.5
931,Macedonia,2000,2.5
938,Norway,2000,52.0
945,Oman,2000,3.5
952,Other non-specified areas,2000,28.1
965,Panama,2000,6.6
972,Papua New Guinea,2000,0.8
979,Paraguay,2000,0.7
986,Peru,2000,3.1
993,Philippines,2000,2.0
1000,Poland,2000,7.3
1007,Portugal,2000,16.4
1014,Puerto Rico,2000,10.5
1019,Qatar,2000,4.9
1026,South Korea,2000,44.7
1033,Moldova,2000,1.3
1040,Réunion,2000,13.8
1042,Romania,2000,3.6
1049,Russia,2000,2.0
1056,Rwanda,2000,0.1
1063,Saint Helena,2000,5.9
1066,Saint Kitts and Nevis,2000,5.9
1073,Saint Lucia,2000,5.1
1080,Saint Vincent & Grenadines,2000,3.2
1087,Samoa,2000,0.6
1094,San Marino,2000,48.8
1099,Sao Tome and Principe,2000,4.6
1106,Saudi Arabia,2000,2.2
1113,Senegal,2000,0.4
1126,Seychelles,2000,7.4
1133,Sierra Leone,2000,0.1
1139,Singapore,2000,36.0
1146,Slovakia,2000,9.4
1153,Slovenia,2000,15.1
1160,Solomon Islands,2000,0.5
1167,Somalia,2000,0.0
1170,South Africa,2000,5.3
1180,Spain,2000,13.6
1187,Sri Lanka,2000,0.6
1193,State of Palestine,2000,1.1
1198,Sudan,2000,0.0
1202,Suriname,2000,2.5
1209,Sweden,2000,45.7
1216,Switzerland,2000,47.1
1223,Syrian Arab Republic,2000,0.2
1229,Tajikistan,2000,0.0
1233,Thailand,2000,3.7
1246,Togo,2000,0.8
1253,Tonga,2000,2.4
1260,Trinidad and Tobago,2000,7.7
1267,Tunisia,2000,2.8
1274,Türkiye,2000,3.8
1281,Turkmenistan,2000,0.1
1285,Tuvalu,2000,5.2
1290,Uganda,2000,0.2
1297,Ukraine,2000,0.7
1304,United Arab Emirates,2000,23.6
1311,England,2000,26.8
1318,United Republic of Tanzania,2000,0.1
1325,USA,2000,43.1
1332,United States Virgin Islands,2000,13.8
1336,Uruguay,2000,10.5
1343,Uzbekistan,2000,0.5
1350,Vanuatu,2000,2.1
1357,Venezuela,2000,3.4
1361,Vietnam,2000,0.3
1368,Wallis and Futuna Islands,2000,4.8
1371,Yemen,2000,0.1
1375,Zambia,2000,0.2
1382,Zimbabwe,2000,0.4
